,block_height,parent_hash,block_hash,transaction_hash,from_account_identifier,to_account_identifier,transfer_type,amount,fee,memo,created_at
0,4401458,fa42ab002823e0444e6627d296408835b983ea96611a9e892b7b28e95d8d99e3,282773d81193b95f48552fd8f6c0510f6097fb712fd3950ad35491560a856822,cbd06bb4bc4fde859bfb48a1d95d1a4fcc613afa2f6905563d8c5d0c5414c5f8,,b7fceb5b12af43d9f39e9112424643b0a1be7f60a9f2d07ceaa472437fb4b342,mint,36579632,0,17950073492470875244,1661836153
1,4401457,1c126a7b140a7508363ec678f93bf9b9ca917859ee6aa2846ee19f0d7466020e,fa42ab002823e0444e6627d296408835b983ea96611a9e892b7b28e95d8d99e3,78fe9dbea6602f20979b15a04dc7b567f36ac69abefb8f2c52d89dc010d4f8e8,,93178c48026115b6ef575b4b399944482aa6c1348341afbf03db5010b6606ba0,mint,39981814,0,3496348659507247804,1661836135
2,4401456,ec58a4a26b1276fe07f8fce8fadd035a18c77ec74c86ed6586729f96521daf41,1c126a7b140a7508363ec678f93bf9b9ca917859ee6aa2846ee19f0d7466020e,bdec7f2f35e580a07300c3f2eac818c581e0496f3188edcba8523802d85ae7e5,,e91be5a0a8035f3aa938cf6862f82e3f0d27d60b5bfc1c7228f7331bf1e4cad5,mint,35324290,0,398554227132169072,1661836111
3,4401455,47ef78cc1f50c67d43351fffa18753491182622a7e705fb07620396aac492d04,ec58a4a26b1276fe07f8fce8fadd035a18c77ec74c86ed6586729f96521daf41,08b7cfb9c759f915ffe16992ebfdfeb77625a03c112f4627208fdf0777bd47a1,,db81b3b7a0bdc91c422c211941edc453e070c5f4393d0b06be9aa9767309fbd1,mint,1479151,0,4893749643644786962,1661836059
4,4401454,50857a4c52d14d8a7fbdcc83e9b6b48c6c95dd7ac2559934426cc4be048d2204,47ef78cc1f50c67d43351fffa18753491182622a7e705fb07620396aac492d04,6335793caf9eabf638042c10d7599018d180c1f0e5b2cfdba1729f0d24426bb0,,958f30c07c1e83910f492854c85b92cfbaab65c5aa86ca7637365693f0758cd3,mint,832955,0,11146567955683302665,1661836019
5,4401453,5bd2e02d1dc38235d2b3ed0ca5a24324472664b9613463987cf92cdd48b1b195,50857a4c52d14d8a7fbdcc83e9b6b48c6c95dd7ac2559934426cc4be048d2204,09f02f53ac4dbf6838f362b8b91ead632e4a68cf8d1518fc73e0219e397369f2,4d22aa93b87ae10aa84326952e8aad609df6675fcfcdaee1b00271c8f1612177,07deaeb2a584aa38851e7ddecff3fbf75e7172f1e7c6a15ad01c317ee226f32e,send,450000000,10000,0,1661835751
6,4401452,32b39631892a5d223585c20a77a24aaeefe72697b35cba4c9e612bbd7049789c,5bd2e02d1dc38235d2b3ed0ca5a24324472664b9613463987cf92cdd48b1b195,f796b2ba95be4e60c0a846f41ebb1097af55ce496a06de87ccc192259a5edc90,,34f48a2efbbd99f5eccaa6724cee8c1c86d50c08254f4b97db4d3ca468e4c043,mint,61005924,0,16791734968471387290,1661835727
7,4401451,6c4e7eec86989af8f8b6df3e3a6a27a964c74ee7eced52d2b71158084273ab87,32b39631892a5d223585c20a77a24aaeefe72697b35cba4c9e612bbd7049789c,3e21eb735c2b48f91327cc12a463ea18577803badcc257248c32e347da79115c,3c471db670c0df841e615ceb0e3382c706f5afcb8dbb632b379b5365c87819c2,de5f696a95499900d7b1ec038c3f77424df6b2bb9053a3ffe6a6f654a58c07da,send,201590269,10000,0,1661835709
8,4401450,bde964bbe2eb593ab944f5103243d380c7363d0f8de17b3326930a57dc3ac6b2,6c4e7eec86989af8f8b6df3e3a6a27a964c74ee7eced52d2b71158084273ab87,d4f6f45e49ed1b41a40fd11cfc9026139986a92c083ee281774cda13f1800a09,efa01544f509c56dd85449edf2381244a48fad1ede5183836229c00ab00d52df,a66808411a13dc9a454d9e82a44470b8033b9fc01993dc3604b7fa5d50c0246e,send,7368397,10000,10474633762357923090,1661835707
9,4401449,e6db6ca5cbe0155de33f4281fbf53db96d566979c88da5898f5a4277321ce794,bde964bbe2eb593ab944f5103243d380c7363d0f8de17b3326930a57dc3ac6b2,7b1b6cc09dfa5c1a796570f7086ede959ea018f674066e540bb5432519fe54f1,f00906680d8550985ec9244170e460a5885deb5dcd696440cb25ddc20e7b648d,220c3a33f90601896e26f76fa619fe288742df1fa75426edfaf759d39f2455a5,send,473990000,10000,7475252817772011596,1661835689
10,4401448,95450d92a919392405483229d0c20e8e2ade7e29a4a82c036912181b1ba1f6f8,e6db6ca5cbe0155de33f4281fbf53db96d566979c88da5898f5a4277321ce794,fef91eda4e665f9fc2ed7f3a5ffa7ff7589450023d0ab698ca1be3a04466c8ef,e994ad0378bb902896b55dd5a69a72e7fb2762bba50b32f66f77d2d99d07ac94,3c471db670c0df841e615ceb0e3382c706f5afcb8dbb632b379b5365c87819c2,send,201600269,10000,1364,1661835675
11,4401447,b07c9da93d30b68a94cfdffc461b7e81695e5b865ff777f975120b75c8ad3e22,95450d92a919392405483229d0c20e8e2ade7e29a4a82c036912181b1ba1f6f8,8bcaa4f1bbda66fa351e5488b708fe69a99a62176957e5ca6c9bff2d7dca7268,d5a070b2f482c09ae258065af74472f623b62de773f6073859bcc3836d18bd44,449ce7ad1298e2ed2781ed379aba25efc2748d14c60ede190ad7621724b9e8b2,send,1115470000,10000,4004838011417503000,1661835621
12,4401446,c0f0aebf981545ec7faf28983125f08bae2b6db234d360d191cbe81a03b6e97b,b07c9da93d30b68a94cfdffc461b7e81695e5b865ff777f975120b75c8ad3e22,71ab1979c6dd3fca8c1fed392ec28848a7aaf3b67ce6d8d4cc73d2f9fcbe45fd,dd15f3040edab88d2e277f9d2fa5cc11616ebf1442279092e37924ab7cce8a74,54b62cf9af48d7b5108387f33f213fc6906380c26065e0fd034d693e8abc61f8,send,381770915,10000,6619940667071027000,1661835526
